year,category,diff_east_west,diff_east_interior,diff_west_interior
2017,baby,2.9891666666666623,1.1789166666666624,1.81025
2017,beans,0.3444791666666669,0.5732291666666671,0.22875000000000023
2017,canned,0.16166666666666685,0.054166666666666696,0.10750000000000015
2017,condiments,0.5354513888888888,0.1448958333333339,0.3905555555555549
2017,dairy,0.40980555555555576,0.3966666666666674,0.013138888888888367
2017,drinks,0.12703125000000082,0.339489583333334,0.2124583333333332
2017,frozen,0.1619444444444449,0.0327222222222221,0.1292222222222228
2017,fruits,0.18807870370370372,0.33513425925925944,0.14705555555555572
2017,grains,0.039583333333333304,0.13175000000000026,0.17133333333333356
2017,meat_alts,0.3193055555555553,0.03391666666666682,0.28538888888888847
2017,meats,1.5204166666666676,1.1852833333333335,0.33513333333333417
2017,nuts,0.6236458333333328,0.5267291666666667,0.0969166666666661
2017,pantry,0.38578125000000085,0.611239583333334,0.2254583333333331
2017,seafood,2.0376041666666644,1.2250208333333337,0.8125833333333308
2017,snacks,0.17923611111111093,0.0004027777777775299,0.1788333333333334
2017,veggies,0.5213333333333336,0.5731166666666674,0.051783333333333736
2018,baby,2.7596874999999983,1.1216041666666676,1.6380833333333307
2018,beans,0.18833333333333346,0.46866666666666656,0.2803333333333331
2018,canned,0.17750000000000044,0.0515000000000001,0.12600000000000033
2018,condiments,0.397847222222222,0.08351388888888867,0.31433333333333335
2018,dairy,0.36879166666666663,0.3575694444444446,0.011222222222222022
2018,drinks,0.19932291666666613,0.4184062499999994,0.2190833333333333
2018,frozen,0.06729166666666764,0.03198611111111038,0.09927777777777802
2018,fruits,0.19884259259259274,0.3632500000000003,0.16440740740740756
2018,grains,0.09989583333333307,0.10889583333333341,0.2087916666666665
2018,meat_alts,0.25388888888888905,0.013777777777778333,0.24011111111111072
2018,meats,1.3380416666666655,0.9744416666666655,0.3635999999999999
2018,nuts,0.3415625000000002,0.2553125000000005,0.08624999999999972
2018,pantry,0.3198958333333328,0.5672708333333336,0.2473750000000008
2018,seafood,2.706041666666664,1.4447916666666654,1.2612499999999986
2018,snacks,0.13180555555555573,0.03830555555555515,0.17011111111111088
2018,veggies,0.6063958333333321,0.6709791666666653,0.06458333333333321
2019,baby,1.9516666666666644,0.583083333333331,1.3685833333333335
2019,beans,0.07718750000000041,0.33185416666666656,0.25466666666666615
2019,canned,0.11458333333333348,0.025333333333332986,0.13991666666666647
2019,condiments,0.08934027777777809,0.09727083333333297,0.18661111111111106
2019,dairy,0.4038194444444443,0.356208333333333,0.04761111111111127
2019,drinks,0.18291666666666684,0.356208333333333,0.17329166666666618
2019,frozen,0.04861111111111116,0.03311111111111087,0.08172222222222203
2019,fruits,0.23157407407407415,0.38022222222222224,0.14864814814814808
2019,grains,0.05994791666666632,0.16130208333333318,0.2212499999999995
2019,meat_alts,0.25680555555555484,0.009249999999999758,0.24755555555555508
2019,meats,1.0239583333333329,0.6273916666666661,0.39656666666666673
2019,nuts,0.21812499999999968,0.10629166666666645,0.11183333333333323
2019,pantry,0.27708333333333357,0.5248333333333335,0.24774999999999991
2019,seafood,3.4754166666666695,1.8192500000000038,1.6561666666666657
2019,snacks,0.01979166666666643,0.13143055555555483,0.15122222222222126
2019,veggies,0.38595833333333385,0.42795833333333455,0.0420000000000007
2020,baby,0.7356249999999989,0.18387499999999513,0.5517500000000037
2020,beans,0.2594791666666665,0.3736458333333328,0.1141666666666663
2020,canned,0.03375000000000017,0.024833333333333485,0.058583333333333654
2020,condiments,0.07885416666666645,0.1605208333333339,0.08166666666666744
2020,dairy,0.38365277777777873,0.3477361111111108,0.03591666666666793
2020,drinks,0.2326041666666674,0.39860416666666776,0.16600000000000037
2020,frozen,0.032916666666667815,0.13425000000000065,0.10133333333333283
2020,fruits,0.42425925925925956,0.5135370370370373,0.08927777777777779
2020,grains,0.012187500000000018,0.15156249999999982,0.16374999999999984
2020,meat_alts,0.20437499999999842,0.058347222222223216,0.26272222222222164
2020,meats,1.1639166666666672,0.7069833333333335,0.45693333333333364
2020,nuts,0.09572916666666664,0.04606249999999967,0.04966666666666697
2020,pantry,0.32119791666666675,0.6292395833333337,0.308041666666667
2020,seafood,2.239583333333334,0.9771666666666707,1.2624166666666632
2020,snacks,0.012430555555555944,0.10729166666666679,0.11972222222222273
2020,veggies,0.49641666666666673,0.5443666666666669,0.04795000000000016
2021,baby,0.3151041666666643,0.3463124999999998,0.6614166666666641
2021,beans,0.32385416666666655,0.4134375000000001,0.08958333333333357
2021,canned,0.0618749999999999,0.030708333333333115,0.09258333333333302
2021,condiments,0.01659722222222193,0.12848611111111197,0.1450833333333339
2021,dairy,0.4660347222222221,0.42120138888888903,0.04483333333333306
2021,drinks,0.22151041666666682,0.41117708333333347,0.18966666666666665
2021,frozen,0.12722222222222213,0.1841666666666666,0.056944444444444464
2021,fruits,0.34439814814814795,0.5015833333333335,0.15718518518518554
2021,grains,0.07833333333333359,0.25779166666666686,0.17945833333333328
2021,meat_alts,0.2258333333333331,0.09272222222222304,0.31855555555555615
2021,meats,1.1145000000000005,0.6107000000000005,0.5038
2021,nuts,0.14854166666666657,0.13545833333333324,0.013083333333333336
2021,pantry,0.2539583333333324,0.5696249999999994,0.315666666666667
2021,seafood,1.8756249999999994,0.7086250000000014,1.166999999999998
2021,snacks,0.009861111111110876,0.13680555555555518,0.14666666666666606
2021,veggies,0.4285416666666677,0.5478250000000009,0.11928333333333319
2022,baby,0.32145833333333584,0.707374999999999,0.38591666666666313
2022,beans,0.03979166666666689,0.029875000000000096,0.06966666666666699
