Year,GEO,Products,Average_Price
2018,Alberta,"Tomatoes, per kilogram",4.069999999999999
2018,Alberta,"Vegetable oil, 3 litres",8.987499999999999
2018,Alberta,"Wheat flour, 2.5 kilograms",4.569166666666667
2018,Alberta,"White bread, 675 grams",2.8233333333333337
2018,Alberta,"White rice, 2 kilograms",7.3133333333333335
2018,Alberta,"White sugar, 2 kilograms",2.935833333333333
2018,Alberta,"Wieners, 400 grams",3.5208333333333335
2018,Alberta,"Yogurt, 500 grams",2.8008333333333333
2019,Alberta,"Almonds, 200 grams",4.908333333333333
2019,Alberta,"Apple juice, 2 litres",2.9575
2019,Alberta,"Apples, per kilogram",4.706666666666666
2019,Alberta,"Avocado, unit",1.9525
2019,Alberta,"Baby food, 128 millilitres",1.3225
2019,Alberta,"Bacon, 500 grams",6.245
2019,Alberta,"Bananas, per kilogram",1.7325
2019,Alberta,"Block cheese, 500 grams",6.109166666666667
2019,Alberta,"Broccoli, unit",2.76
2019,Alberta,"Brown rice, 900 grams ",4.320833333333334
2019,Alberta,"Butter, 454 grams",4.2058333333333335
2019,Alberta,"Cabbage, per kilogram",2.5708333333333333
2019,Alberta,"Canned beans and lentils, 540 millilitres",1.215
2019,Alberta,"Canned soup, 284 millilitres",1.4425
2019,Alberta,"Cantaloupe, unit",3.025
2019,Alberta,"Celery, unit",3.4783333333333335
2019,Alberta,"Cereal, 400 grams",3.1783333333333332
2019,Alberta,"Chicken breasts, per kilogram",13.179166666666667
2019,Alberta,"Cream, 1 litre",3.7433333333333336
2019,Alberta,"Cucumber, unit",1.8125
2019,Alberta,"Dry or fresh pasta, 500 grams",2.4208333333333334
2019,Alberta,"Eggs, 1 dozen",3.580833333333333
2019,Alberta,"Flatbread and pita, 500 grams ",3.7716666666666665
2019,Alberta,"Grapes, per kilogram",6.614999999999999
2019,Alberta,"Ground beef, per kilogram",9.3125
2019,Alberta,"Iceberg lettuce, unit",2.5683333333333334
2019,Alberta,"Infant formula, 900 grams ",29.804166666666664
2019,Alberta,"Ketchup, 1 litre",3.2175
2019,Alberta,"Lemons, unit",0.9383333333333334
2019,Alberta,"Limes, unit",0.5941666666666666
2019,Alberta,"Margarine, 907 grams",4.346666666666667
2019,Alberta,"Mayonnaise, 890 millilitres ",4.4375
2019,Alberta,"Meatless burgers, 226 grams",5.471666666666667
2019,Alberta,"Milk, 4 litres",4.8825
2019,Alberta,"Onions, per kilogram",3.9466666666666668
2019,Alberta,"Orange juice, 2 litres",3.9250000000000003
2019,Alberta,"Oranges, per kilogram",3.7566666666666664
2019,Alberta,"Pasta sauce, 650 millilitres",2.19
2019,Alberta,"Peanuts, 450 grams",3.3041666666666667
2019,Alberta,"Pears, per kilogram",4.216666666666667
2019,Alberta,"Peppers, per kilogram",7.434166666666666
2019,Alberta,"Pork loin cuts, per kilogram",9.495
2019,Alberta,"Potatoes, per kilogram",3.893333333333333
2019,Alberta,"Roasted or ground coffee, 340 grams",5.226666666666667
2019,Alberta,"Salad dressing, 475 millilitres",2.4858333333333333
2019,Alberta,"Salmon, per kilogram",24.680000000000003
2019,Alberta,"Salsa, 418 millilitres",3.26
2019,Alberta,"Shrimp, 300 grams",7.323333333333333
2019,Alberta,"Squash, per kilogram",3.9958333333333336
2019,Alberta,Tea (20 bags),3.518333333333333
2019,Alberta,"Tofu, 350 grams ",2.1991666666666667
2019,Alberta,"Tomatoes, per kilogram",4.465
2019,Alberta,"Vegetable oil, 3 litres",8.019166666666667
2019,Alberta,"Wheat flour, 2.5 kilograms",4.629166666666666
2019,Alberta,"White bread, 675 grams",2.7841666666666662
2019,Alberta,"White rice, 2 kilograms",7.59
2019,Alberta,"White sugar, 2 kilograms",2.813333333333333
2019,Alberta,"Wieners, 400 grams",3.6316666666666664
2019,Alberta,"Yogurt, 500 grams",2.83
2020,Alberta,"Almonds, 200 grams",5.244166666666667
2020,Alberta,"Apple juice, 2 litres",2.9091666666666662
2020,Alberta,"Apples, per kilogram",4.5275
2020,Alberta,"Avocado, unit",1.92
2020,Alberta,"Baby food, 128 millilitres",1.3116666666666668
