year,category,diff_east_west,diff_east_interior,diff_west_interior
2017,dairy,0.40980555555555576,0.3966666666666674,0.013138888888888367
2017,fruits,0.18807870370370372,0.33513425925925944,0.14705555555555572
2017,veggies,0.5213333333333336,0.5731166666666674,0.051783333333333736
2018,dairy,0.36879166666666663,0.3575694444444446,0.011222222222222022
2018,fruits,0.19884259259259274,0.3632500000000003,0.16440740740740756
2018,veggies,0.6063958333333321,0.6709791666666653,0.06458333333333321
2019,dairy,0.4038194444444443,0.356208333333333,0.04761111111111127
2019,fruits,0.23157407407407415,0.38022222222222224,0.14864814814814808
2019,veggies,0.38595833333333385,0.42795833333333455,0.0420000000000007
2020,dairy,0.38365277777777873,0.3477361111111108,0.03591666666666793
2020,fruits,0.42425925925925956,0.5135370370370373,0.08927777777777779
2020,veggies,0.49641666666666673,0.5443666666666669,0.04795000000000016
2021,dairy,0.4660347222222221,0.42120138888888903,0.04483333333333306
2021,fruits,0.34439814814814795,0.5015833333333335,0.15718518518518554
2021,veggies,0.4285416666666677,0.5478250000000009,0.11928333333333319
2022,dairy,0.44235416666666616,0.47313194444444395,0.030777777777777793
2022,fruits,0.20331018518518507,0.40284722222222236,0.1995370370370373
2022,veggies,0.3120000000000003,0.4925000000000006,0.18050000000000033
2023,dairy,0.3775902777777782,0.4213958333333334,0.04380555555555521
2023,fruits,0.2545370370370361,0.4779629629629625,0.22342592592592636
2023,veggies,0.2379791666666664,0.49904583333333363,0.2610666666666672
2024,dairy,0.43892708333333363,0.44626041666666616,0.007333333333332526
2024,fruits,0.311076388888889,0.5686041666666664,0.25752777777777736
2024,veggies,0.2908749999999998,0.5132749999999993,0.2223999999999995
